workspace_id,account_id,workspace_name,created_at,country_code,active_flag
workspace_00000001,account_00000001,account_00000001 Workspace 1,2025-01-20 00:00:00,BE,True
workspace_00000002,account_00000002,account_00000002 Workspace 1,2026-04-10 00:00:00,NL,True
workspace_00000003,account_00000004,account_00000004 Workspace 1,2024-06-03 00:00:00,NO,True
workspace_00000004,account_00000008,account_00000008 Workspace 1,2025-12-22 00:00:00,IE,True
workspace_00000005,account_00000009,account_00000009 Workspace 1,2025-03-28 00:00:00,BE,False
workspace_00000006,account_00000013,account_00000013 Workspace 1,2024-07-29 00:00:00,NL,True
workspace_00000007,account_00000013,account_00000013 Workspace 2,2024-07-27 00:00:00,NL,True
workspace_00000008,account_00000019,account_00000019 Workspace 1,2026-03-27 00:00:00,ES,True
workspace_00000009,account_00000019,account_00000019 Workspace 2,2026-04-02 00:00:00,ES,True
workspace_00000010,account_00000019,account_00000019 Workspace 3,2026-03-27 00:00:00,ES,True
workspace_00000011,account_00000022,account_00000022 Workspace 1,2024-06-09 00:00:00,SE,True
workspace_00000012,account_00000023,account_00000023 Workspace 1,2024-07-16 00:00:00,DE,True
workspace_00000013,account_00000024,account_00000024 Workspace 1,2025-07-12 00:00:00,CZ,True
workspace_00000014,account_00000024,account_00000024 Workspace 2,2025-07-04 00:00:00,CZ,True
workspace_00000015,account_00000035,account_00000035 Workspace 1,2024-12-30 00:00:00,CH,True
workspace_00000016,account_00000039,account_00000039 Workspace 1,2026-07-01 00:00:00,DE,True
workspace_00000017,account_00000039,account_00000039 Workspace 2,2026-06-28 00:00:00,DE,True
workspace_00000018,account_00000040,account_00000040 Workspace 1,2025-11-24 00:00:00,FR,True
workspace_00000019,account_00000043,account_00000043 Workspace 1,2026-03-11 00:00:00,AT,True
workspace_00000020,account_00000044,account_00000044 Workspace 1,2024-04-24 00:00:00,NL,True
workspace_00000021,account_00000047,account_00000047 Workspace 1,2025-05-24 00:00:00,FR,True
workspace_00000022,account_00000051,account_00000051 Workspace 1,2025-05-30 00:00:00,AT,True
workspace_00000023,account_00000056,account_00000056 Workspace 1,2025-04-29 00:00:00,DE,True
workspace_00000024,account_00000069,account_00000069 Workspace 1,2024-05-08 00:00:00,AT,True
workspace_00000025,account_00000069,account_00000069 Workspace 2,2024-05-05 00:00:00,AT,True
workspace_00000026,account_00000079,account_00000079 Workspace 1,2025-10-29 00:00:00,SE,True
workspace_00000027,account_00000079,account_00000079 Workspace 2,2025-11-05 00:00:00,SE,True
workspace_00000028,account_00000080,account_00000080 Workspace 1,2025-09-25 00:00:00,FR,True
workspace_00000029,account_00000080,account_00000080 Workspace 2,2025-10-04 00:00:00,FR,True
workspace_00000030,account_00000080,account_00000080 Workspace 3,2025-09-26 00:00:00,FR,True
workspace_00000031,account_00000080,account_00000080 Workspace 4,2025-10-06 00:00:00,FR,True
workspace_00000032,account_00000080,account_00000080 Workspace 5,2025-09-26 00:00:00,FR,True
