user_id,account_id,workspace_id,created_at,role_name,user_status,invited_at,activated_at,deactivated_at,mobile_user_flag
user_00000001,account_00000001,workspace_00000001,2025-01-27 00:00:00,external_contractor,active,2025-01-27 00:00:00,2025-01-28 08:00:00,,True
user_00000002,account_00000001,workspace_00000001,2025-02-07 00:00:00,field_worker,active,2025-02-07 00:00:00,,,False
user_00000003,account_00000001,workspace_00000001,2025-01-13 00:00:00,manager,active,2025-01-13 00:00:00,2025-01-13 23:00:00,,True
user_00000004,account_00000001,workspace_00000001,2025-01-27 00:00:00,field_worker,active,2025-01-27 00:00:00,2025-01-27 07:00:00,,True
user_00000005,account_00000002,workspace_00000002,2026-04-24 00:00:00,finance,active,2026-04-24 00:00:00,,,False
user_00000006,account_00000004,workspace_00000003,2024-06-15 00:00:00,field_worker,active,2024-06-15 00:00:00,2024-06-18 15:00:00,,False
user_00000007,account_00000004,workspace_00000003,2024-06-24 00:00:00,field_worker,active,2024-06-24 00:00:00,2024-06-24 02:00:00,,True
user_00000008,account_00000004,workspace_00000003,2024-06-05 00:00:00,field_worker,active,2024-06-05 00:00:00,2024-06-06 02:00:00,,False
user_00000009,account_00000004,workspace_00000003,2024-06-01 00:00:00,dispatcher,active,2024-06-01 00:00:00,2024-06-01 09:00:00,,True
user_00000010,account_00000004,workspace_00000003,2024-06-07 00:00:00,dispatcher,active,2024-06-07 00:00:00,2024-06-08 16:00:00,,True
user_00000011,account_00000004,workspace_00000003,2024-06-01 00:00:00,field_worker,active,2024-06-01 00:00:00,2024-06-03 17:00:00,,True
user_00000012,account_00000004,workspace_00000003,2024-06-26 00:00:00,dispatcher,active,2024-06-26 00:00:00,2024-06-29 15:00:00,,False
user_00000013,account_00000004,workspace_00000003,2024-06-15 00:00:00,dispatcher,active,2024-06-15 00:00:00,,,True
user_00000014,account_00000008,workspace_00000004,2026-01-17 00:00:00,field_worker,active,2026-01-17 00:00:00,2026-01-19 09:00:00,,True
user_00000015,account_00000008,workspace_00000004,2025-12-23 00:00:00,dispatcher,active,2025-12-23 00:00:00,2025-12-25 05:00:00,,False
user_00000016,account_00000008,workspace_00000004,2026-01-07 00:00:00,field_worker,active,2026-01-07 00:00:00,2026-01-10 16:00:00,,True
user_00000017,account_00000009,workspace_00000005,2025-04-15 00:00:00,field_worker,deactivated,2025-04-15 00:00:00,,2025-06-30 00:00:00,True
user_00000018,account_00000009,workspace_00000005,2025-04-19 00:00:00,dispatcher,deactivated,2025-04-19 00:00:00,2025-04-19 19:00:00,2025-06-30 00:00:00,True
user_00000019,account_00000009,workspace_00000005,2025-04-15 00:00:00,field_worker,deactivated,2025-04-15 00:00:00,2025-04-18 20:00:00,2025-06-30 00:00:00,True
user_00000020,account_00000009,workspace_00000005,2025-05-04 00:00:00,administrator,deactivated,2025-05-04 00:00:00,2025-05-04 15:00:00,2025-06-30 00:00:00,True
user_00000021,account_00000009,workspace_00000005,2025-04-12 00:00:00,field_worker,deactivated,2025-04-12 00:00:00,,2025-06-30 00:00:00,True
user_00000022,account_00000009,workspace_00000005,2025-05-02 00:00:00,field_worker,deactivated,2025-05-02 00:00:00,2025-05-05 20:00:00,2025-06-30 00:00:00,True
user_00000023,account_00000009,workspace_00000005,2025-04-24 00:00:00,dispatcher,deactivated,2025-04-24 00:00:00,2025-04-25 19:00:00,2025-06-30 00:00:00,True
user_00000024,account_00000009,workspace_00000005,2025-04-03 00:00:00,field_worker,deactivated,2025-04-03 00:00:00,2025-04-04 14:00:00,2025-06-30 00:00:00,True
user_00000025,account_00000009,workspace_00000005,2025-03-30 00:00:00,field_worker,deactivated,2025-03-30 00:00:00,2025-03-31 03:00:00,2025-06-30 00:00:00,True
user_00000026,account_00000009,workspace_00000005,2025-03-27 00:00:00,field_worker,deactivated,2025-03-27 00:00:00,2025-03-28 22:00:00,2025-06-30 00:00:00,False
user_00000027,account_00000009,workspace_00000005,2025-04-05 00:00:00,field_worker,deactivated,2025-04-05 00:00:00,2025-04-06 20:00:00,2025-06-30 00:00:00,True
user_00000028,account_00000009,workspace_00000005,2025-04-12 00:00:00,field_worker,deactivated,2025-04-12 00:00:00,,2025-06-30 00:00:00,True
user_00000029,account_00000009,workspace_00000005,2025-04-23 00:00:00,field_worker,deactivated,2025-04-23 00:00:00,2025-04-25 05:00:00,2025-06-30 00:00:00,True
user_00000030,account_00000009,workspace_00000005,2025-04-24 00:00:00,dispatcher,deactivated,2025-04-24 00:00:00,2025-04-25 15:00:00,2025-06-30 00:00:00,False
