month,subscription_id,mrr_eur,recurring_items,account_id,country_code,region_id,segment,sales_motion,acquisition_channel
2024-03-01,subscription_00000023,53.55,1,account_00000085,DE,dach,micro,self_service,organic_search
2024-03-01,subscription_00000065,33.15,1,account_00000183,IE,western_europe,micro,self_service,events
2024-04-01,subscription_00000015,128.39,1,account_00000044,NL,benelux,small,sales_assisted,paid_search
2024-04-01,subscription_00000019,452.0,1,account_00000069,AT,dach,medium,self_service,referral
2024-04-01,subscription_00000023,53.55,1,account_00000085,DE,dach,micro,self_service,organic_search
2024-04-01,subscription_00000063,118.0,1,account_00000173,SE,nordics,small,self_service,referral
2024-04-01,subscription_00000065,33.15,1,account_00000183,IE,western_europe,micro,self_service,events
2024-05-01,subscription_00000003,143.5,1,account_00000004,NO,nordics,small,sales_assisted,referral
2024-05-01,subscription_00000015,128.39,1,account_00000044,NL,benelux,small,sales_assisted,paid_search
2024-05-01,subscription_00000019,452.0,1,account_00000069,AT,dach,medium,self_service,referral
2024-05-01,subscription_00000023,63.75,1,account_00000085,DE,dach,micro,self_service,organic_search
2024-05-01,subscription_00000035,160.69,1,account_00000106,NO,nordics,small,partner_led,organic_search
2024-05-01,subscription_00000058,96.03,1,account_00000157,NL,benelux,micro,partner_led,organic_search
2024-05-01,subscription_00000063,118.0,1,account_00000173,SE,nordics,small,self_service,referral
2024-05-01,subscription_00000065,33.15,1,account_00000183,IE,western_europe,micro,self_service,events
2024-05-01,subscription_00000078,53.55,1,account_00000229,GB,western_europe,micro,sales_assisted,outbound_sales
2024-06-01,subscription_00000003,143.5,1,account_00000004,NO,nordics,small,sales_assisted,referral
2024-06-01,subscription_00000008,171.0,1,account_00000022,SE,nordics,small,self_service,referral
2024-06-01,subscription_00000015,128.39,1,account_00000044,NL,benelux,small,sales_assisted,paid_search
2024-06-01,subscription_00000019,452.0,1,account_00000069,AT,dach,medium,self_service,referral
2024-06-01,subscription_00000023,63.75,1,account_00000085,DE,dach,micro,self_service,organic_search
2024-06-01,subscription_00000035,160.69,1,account_00000106,NO,nordics,small,partner_led,organic_search
2024-06-01,subscription_00000050,3350.77,1,account_00000134,BE,benelux,mid_market,partner_led,outbound_sales
2024-06-01,subscription_00000058,96.03,1,account_00000157,NL,benelux,micro,partner_led,organic_search
2024-06-01,subscription_00000063,118.0,1,account_00000173,SE,nordics,small,self_service,referral
2024-06-01,subscription_00000065,33.15,1,account_00000183,IE,western_europe,micro,self_service,events
2024-06-01,subscription_00000078,53.55,1,account_00000229,GB,western_europe,micro,sales_assisted,outbound_sales
2024-07-01,subscription_00000003,187.6,2,account_00000004,NO,nordics,small,sales_assisted,referral
2024-07-01,subscription_00000006,853.95,1,account_00000013,NL,benelux,medium,partner_led,outbound_sales
2024-07-01,subscription_00000008,171.0,1,account_00000022,SE,nordics,small,self_service,referral
2024-07-01,subscription_00000009,108.97,1,account_00000023,DE,dach,small,partner_led,partner
2024-07-01,subscription_00000015,128.39,1,account_00000044,NL,benelux,small,sales_assisted,paid_search
2024-07-01,subscription_00000019,452.0,1,account_00000069,AT,dach,medium,self_service,referral
2024-07-01,subscription_00000023,63.75,1,account_00000085,DE,dach,micro,self_service,organic_search
2024-07-01,subscription_00000035,160.69,1,account_00000106,NO,nordics,small,partner_led,organic_search
2024-07-01,subscription_00000037,872.9,1,account_00000110,PL,central_europe,medium,partner_led,organic_search
2024-07-01,subscription_00000050,3412.87,2,account_00000134,BE,benelux,mid_market,partner_led,outbound_sales
2024-07-01,subscription_00000056,7038.32,1,account_00000152,IE,western_europe,mid_market,partner_led,paid_search
2024-07-01,subscription_00000058,96.03,1,account_00000157,NL,benelux,micro,partner_led,organic_search
2024-07-01,subscription_00000063,118.0,1,account_00000173,SE,nordics,small,self_service,referral
2024-07-01,subscription_00000065,33.15,1,account_00000183,IE,western_europe,micro,self_service,events
2024-07-01,subscription_00000078,53.55,1,account_00000229,GB,western_europe,micro,sales_assisted,outbound_sales
2024-08-01,subscription_00000003,187.6,2,account_00000004,NO,nordics,small,sales_assisted,referral
2024-08-01,subscription_00000006,898.0500000000001,2,account_00000013,NL,benelux,medium,partner_led,outbound_sales
2024-08-01,subscription_00000008,171.0,1,account_00000022,SE,nordics,small,self_service,referral
2024-08-01,subscription_00000009,108.97,1,account_00000023,DE,dach,small,partner_led,partner
2024-08-01,subscription_00000015,128.39,1,account_00000044,NL,benelux,small,sales_assisted,paid_search
2024-08-01,subscription_00000019,452.0,1,account_00000069,AT,dach,medium,self_service,referral
2024-08-01,subscription_00000022,251.0,1,account_00000083,GB,western_europe,small,self_service,paid_social
2024-08-01,subscription_00000023,63.75,1,account_00000085,DE,dach,micro,self_service,organic_search
2024-08-01,subscription_00000033,43.35,1,account_00000104,NO,nordics,micro,sales_assisted,direct
2024-08-01,subscription_00000035,160.69,1,account_00000106,NO,nordics,small,partner_led,organic_search
2024-08-01,subscription_00000037,1071.62,1,account_00000110,PL,central_europe,medium,partner_led,organic_search
2024-08-01,subscription_00000039,1213.0,1,account_00000113,BE,benelux,medium,self_service,organic_search
2024-08-01,subscription_00000043,99.0,1,account_00000124,DE,dach,micro,self_service,paid_search
2024-08-01,subscription_00000046,1334.0,1,account_00000128,AT,dach,medium,sales_assisted,outbound_sales
2024-08-01,subscription_00000050,3412.87,2,account_00000134,BE,benelux,mid_market,partner_led,outbound_sales
2024-08-01,subscription_00000056,7397.42,2,account_00000152,IE,western_europe,mid_market,partner_led,paid_search
2024-08-01,subscription_00000058,96.03,1,account_00000157,NL,benelux,micro,partner_led,organic_search
2024-08-01,subscription_00000063,118.0,1,account_00000173,SE,nordics,small,self_service,referral
2024-08-01,subscription_00000065,33.15,1,account_00000183,IE,western_europe,micro,self_service,events
