month,gross_revenue_retention,net_revenue_retention,opening_mrr
2024-03-01,,,0.0
2024-04-01,1.0,1.0,86.69999999999999
2024-05-01,1.0,1.0129921410284173,785.0899999999999
2024-06-01,1.0,1.0,1249.06
2024-07-01,1.0,1.022260277561766,4770.83
2024-08-01,1.0,1.0437722753772951,13751.169999999998
2024-09-01,1.0,1.0264614790348248,17293.44
2024-10-01,1.0,1.005682808256861,20430.04
2024-11-01,1.0,1.01573345583415,20593.059999999998
2024-12-01,1.0,1.1036171931919778,21150.93
2025-01-01,1.0,1.0048885816039432,23749.220000000005
2025-02-01,0.9923405271880593,1.0276392997148227,24111.32
2025-03-01,1.0,1.0184601162995648,26438.62
2025-04-01,0.9997522974138819,1.0448982100635709,27169.68
2025-05-01,0.9979536553493376,1.0234833697181438,31153.11
2025-06-01,0.9999272969036612,1.0017407608474693,104534.75000000001
2025-07-01,0.9753507198056031,0.9835624373083933,104758.84
2025-08-01,0.9992292459303431,1.0084178322470265,104858.35
2025-09-01,0.9363051849241623,0.9799554600737853,108064.84
2025-10-01,0.9984690359049481,1.0118692996059593,127083.32
2025-11-01,0.99642015692314,1.0023624680249292,143604.05999999997
2025-12-01,1.0,1.00373251139484,144192.46
2026-01-01,0.9997320678650001,1.0082531384140863,144812.79
2026-02-01,0.9944029760023342,1.0335682406334725,146007.94999999998
2026-03-01,1.0,1.024099498396795,151877.02000000002
2026-04-01,0.9993047543915542,1.010184239490177,167768.05000000002
2026-05-01,0.9998020034310776,1.0289530412155308,169952.44
2026-06-01,0.9655384630814183,0.9779222124639946,175487.24000000002
